Mean of the integrated profile,Standard deviation of the integrated profile,Excess kurtosis of the integrated profile,Skewness of the integrated profile,Mean of the DM-SNR curve,Standard deviation of the DM-SNR curve,Excess kurtosis of the DM-SNR curve,Skewness of the DM-SNR curve,Class
90.1328125,38.85457082,0.586739061,1.675733418,3.775919732,21.38666845,7.189355151,59.68389616,0
80.28125,36.89786103,0.948061938,2.766860712,0.727424749,11.20854087,18.49844633,371.1933415,0
94.6640625,38.65740496,0.590923846,1.655762547,0.97993311,11.8077379,15.12961696,260.1695502,0
91.7734375,42.46969781,1.547537612,3.486250189,150.5443144,92.77363329,-0.530580801,-1.270990164,1
111.8984375,48.46871411,0.03570384,-0.217656177,1.596153846,11.29528945,13.27071838,241.2198768,0
103.9140625,44.64828303,0.458696401,0.887063049,0.617056856,10.38057631,19.09166583,396.5751807,0
126.859375,45.45150822,0.001818485,0.203492558,3.389632107,20.38226718,7.829813671,70.00080537,0
24.484375,41.16544067,4.347698018,18.75114241,109.7892977,82.21609152,0.010425467,-1.259046483,1
22.859375,33.00419821,5.198502699,28.10315333,73.95819398,63.18079323,0.997992772,0.525573228,1
115.0078125,49.01809234,0.04870751,-0.232283613,1.327759197,14.82956457,12.22364552,158.3888374,0
128.171875,51.74292062,0.150712183,-0.60777109,1.242474916,11.66626508,13.19594642,221.9784785,0
135.6328125,54.91226967,-0.018771751,-0.635800869,11.07190635,37.17806983,3.594327449,12.86667887,0
105.5390625,44.26198678,0.687231792,0.695163263,1.240802676,10.90789383,14.03295284,266.6222018,0
132.578125,46.56641919,-0.145056198,0.168758781,1.787625418,14.94454792,11.59153431,153.1106445,0
136.4453125,50.72302371,0.08461618,-0.223626023,3.072742475,20.88911383,7.893147843,68.11404165,0
137.6484375,45.88855213,-0.144282272,0.409022246,2.284280936,13.68235396,9.319216058,120.7069316,0
135.4296875,50.05320351,0.071229411,-0.215082566,4.039297659,26.39735521,7.13637797,52.54085714,0
123.125,50.92657091,0.125678648,-0.399647512,4.884615385,26.3644079,6.246371906,40.98263189,0
121.7421875,53.0545483,-0.091161962,-0.267380022,2.410535117,15.75176975,8.227566552,84.87250944,0
96.6484375,43.64838017,0.513867568,0.74780762,6.816053512,33.69849013,5.231797671,27.26726518,0
130.578125,50.43197915,0.072219438,-0.166228769,9.677257525,35.66735274,3.803195189,14.14737832,0
143.734375,51.50234891,-0.124623835,-0.014180289,6.762541806,30.98514265,5.093959645,27.08614084,0
41.890625,28.68341049,4.707133919,30.38440322,12.98662207,44.03777819,3.739387485,13.61329582,1
71.1953125,29.1687061,2.969223144,15.0879771,11.08361204,43.12914842,3.907151901,14.36515482,1
115.4765625,47.23031416,0.125991278,-0.130416331,88.08862876,88.35155438,0.149566003,-1.766947488,0
108.7265625,31.42717645,0.51845989,3.470998553,3.10451505,17.97392053,7.560389217,67.94839486,0
136.7578125,48.58879534,-0.156798152,0.038722483,77.89632107,82.48725017,0.240533271,-1.73045099,0
129.6484375,59.03820133,-0.076257992,-0.658627785,2.068561873,13.70711244,9.903777373,129.9531646,0
122,56.30691565,0.192742273,-0.676199941,18.10953177,54.37198961,3.107319866,8.375607899,0
35.3515625,31.4644119,4.819742314,27.05880686,18.72826087,47.50089495,3.116141164,9.737623197,1
117.859375,54.76907978,0.293732491,-0.078752642,2.804347826,17.91036343,8.200372892,78.2680679,0
96.921875,46.73288613,0.338692481,0.266694278,2.306856187,16.73465912,8.876670368,90.8365804,0
96.578125,44.48079104,0.576552051,0.798955749,3.398829431,18.02874791,7.03206409,60.39062437,0
64.203125,48.01112491,2.348346315,5.995983453,101.0292642,70.70657475,0.348987541,-0.711533353,1
93.515625,42.19189503,0.682862094,1.248827738,3.049331104,18.63027191,8.17072024,77.86910097,0
132.953125,42.57986235,0.048086321,0.328234918,3.389632107,17.80079363,7.559829288,70.51592962,0
8.9609375,30.21728664,7.513116634,55.84523749,75.5409699,56.31345171,1.133982021,1.029379562,1
128.9375,48.83722165,0.050050388,0.1559388,1.264214047,15.75386846,13.54654036,190.8732175,0
120.046875,68.92691548,0.161219278,-1.282343789,197.5777592,29.42224843,-2.282559529,8.22257475,0
109.5625,44.90402091,0.115584632,0.134251991,5.118729097,27.49875553,6.15000155,39.36557998,0
100.390625,40.94150446,0.582941351,1.144496896,1.418060201,12.30747964,11.78185224,181.1808699,0
32.4765625,41.17606344,3.654787601,13.90269145,59.99080268,66.78183481,1.197499957,0.61762302,1
35.6171875,33.15237574,5.168639905,29.04602353,58.40635452,69.24761995,1.093188772,0.323029453,1
143.7578125,50.24638452,-0.158471994,0.109268246,6.614548495,29.37890096,4.686596198,22.16344137,0
109.3515625,38.86989312,0.168128016,0.824654121,1.384615385,12.43656402,12.25502441,189.4529218,0
65.578125,33.34727532,2.351981687,9.971397801,6.403846154,31.10990258,5.646217665,33.64550365,1
117.2421875,61.71035495,0.24299774,-0.588422516,0.774247492,10.01408067,19.30894732,431.7611256,0
132.0234375,53.11139015,0.090923424,-0.477806079,9.328595318,41.52931291,4.472353531,18.80148946,0
99.7109375,41.83116219,0.300131714,1.013924693,3.357859532,18.72577222,7.234314255,61.07247101,0
131.953125,51.11290495,0.007998524,-0.136929052,2.735785953,20.97953511,8.387715201,74.17504166,0
106,41.24185526,0.320462932,0.407108869,0.743311037,12.18338815,17.25261887,305.2626669,0
101.34375,50.67211349,0.372489083,-0.165874097,1.821906355,14.23380574,10.47611754,135.4775225,0
138.2109375,56.13552968,-0.246050974,-0.540071394,25.88377926,65.29130022,2.20168458,3.023223651,0
34.9921875,32.7455856,4.132751898,21.93084176,61.6229097,70.08372282,1.108185858,0.344425534,1
86.5234375,39.82912032,0.659755587,1.512194676,1.736622074,15.75502351,10.70752888,126.4471927,0
94.796875,46.86322508,0.547160399,0.541925052,1.172240803,13.71656831,13.301363,191.5483098,0
96.734375,46.70912056,0.377104564,0.152048093,2.836120401,18.7071222,8.906146151,92.14216995,0
122.359375,40.86596505,-0.044778541,1.037037605,2.130434783,17.70582855,11.15302538,137.2621292,0
105.8203125,50.68398317,0.157763181,-0.427245651,6.065217391,,5.882067449,34.14680917,0
129.3046875,50.73330369,0.019568507,-0.339842585,2.275919732,14.24771725,9.629046948,120.2956246,0
136.703125,55.21525482,-0.138694079,-0.457520726,3.048494983,19.55006409,7.873036125,69.09910524,0
101.59375,52.42814093,0.345714442,-0.2866295,6.561036789,32.83401227,5.493631097,30.56820949,0
113.3984375,51.17606555,0.403571074,0.528198097,31.32441472,51.53908903,1.835238673,2.901304494,0
126.3203125,47.73526173,0.322935232,0.651073165,3.606187291,20.36525819,6.742066552,51.44654659,0
128.96875,52.85607485,-0.095204261,-0.471908008,16.56939799,51.68965501,3.09521699,8.239992459,0
132.234375,54.52987776,0.021015943,-0.517323389,1.959866221,13.22091917,10.45509986,145.4751053,0
28.28125,41.40518867,3.567978214,13.30472607,100.4849498,81.55386185,-0.001820866,-1.29283676,1
96.515625,39.19601869,0.515466167,1.294247424,3.037625418,20.0289779,8.17559948,74.8133748,0
120.25,51.25731655,0.220746465,0.120629198,2.010033445,11.91033529,11.38917517,190.8377343,0
138.0546875,48.43799332,0.15272783,-0.04411327,2.602006689,15.40318114,9.905255543,129.2692643,0
108.671875,43.66064256,0.16097522,0.139801756,3.598662207,24.62218454,7.491204404,57.98247071,0
55.6640625,36.00939056,3.142723508,12.78200669,50.65802676,70.549925,1.29303812,0.620718311,1
136.078125,49.75935989,-0.120659883,-0.26489637,4.97909699,26.72566685,5.727605555,33.70989053,0
131.8203125,47.69932416,0.121685349,-0.113622665,1.004180602,13.78959726,15.08498384,235.5070724,0
61.6484375,38.06051716,1.617625392,5.240351492,2.31187291,19.37611085,9.25488097,92.01099426,1
138.2890625,40.2566284,-0.125631383,0.791269777,4.662207358,22.95093523,5.900749,38.40228238,0
92.6875,40.58781952,0.483733298,1.299760009,8.284280936,33.29672195,4.36817959,19.27459313,0
100.3984375,39.28369172,0.369517807,0.901278265,2.649665552,21.38761187,8.520891954,74.55435958,1
105.4375,44.86311646,0.134379439,0.284533782,1.33277592,14.1097453,12.08149809,160.8223066,0
132.484375,50.54422327,-0.145306311,-0.248094662,5.508361204,28.85639273,5.809022473,35.23884439,0
100.4609375,39.43663873,0.470312296,1.389553074,3.804347826,22.05238931,6.707951728,49.01011952,0
140.1328125,47.18967232,0.085895359,-0.007615821,4.842809365,25.51326706,5.649555467,33.18983908,0
122.1171875,48.37429281,0.031772046,-0.003310549,2.631270903,16.74549783,8.152841515,80.52836096,0
97.5625,35.16029143,0.438211171,2.142149919,2.939799331,19.07838227,8.49720378,81.17969182,0
122.7421875,39.55973452,0.174805881,0.758631127,2.168060201,13.63760601,10.64585196,148.3583105,0
133.109375,49.49798518,-0.04968755,-0.258694487,4.70819398,25.46394197,6.718433779,48.9625618,0
95.109375,53.74727237,0.627435273,0.536495913,2.009197324,14.73332908,10.12223556,126.4645332,0
113.7265625,40.78578085,0.367794527,0.730595252,1.998327759,13.13615338,10.33573709,145.3354232,0
134.203125,45.77925284,0.02801394,-0.108025926,6.273411371,28.61054362,5.08046732,26.97466407,0
112.7578125,43.62495453,0.491886644,0.520261701,1.517558528,12.71617854,12.2996576,186.1152504,0
120.4375,55.26509268,0.147492751,-0.571767105,4.107859532,22.92158156,6.988111672,53.2699748,0
117.421875,47.3914235,0.273382821,0.309908392,2.366220736,13.30808073,9.327599076,127.5434637,0
102.3828125,37.59822991,0.502068305,1.589864986,2.839464883,19.0167849,8.060241913,74.38439189,0
80.4765625,37.70775054,0.651394321,2.605016331,1.830267559,15.47380309,10.92297631,133.8551708,0
107.4140625,44.57183937,0.394268748,0.393693148,3.475752508,20.53967319,7.04343849,56.36582452,0
57.0625,85.79734025,1.406391047,0.089519707,188.3060201,64.71256228,-1.597526579,1.42947536,0
129.078125,47.7036112,0.39496001,0.514568365,114.7575251,87.40858427,-0.172313266,-1.484623852,0
130.84375,42.34280442,0.111273221,0.892756121,1.31270903,12.22199368,13.2768296,216.3994259,0
127.515625,44.25811797,0.081966566,0.112997916,1.245819398,12.47317285,12.85619359,197.5725444,0
114.609375,39.58500236,0.024180311,1.020405033,3.294314381,19.80199648,7.487081959,64.01903254,0
110.1328125,42.72136671,0.414037135,1.371338233,1.001672241,13.77889171,15.28872515,243.3787729,0
126,54,0.247667622,-0.161393978,1.821906355,13.19512256,10.54118915,146.4998938,0
117.6875,41.24275505,0.093905239,0.58877642,4.24916388,25.75238647,6.638381247,46.10215369,0
27.3671875,30.38473895,4.875457338,28.6755746,108.2700669,76.74236842,0.094011155,-0.930388571,1
124.1640625,58.49556305,0.23642368,-0.630157294,0.741638796,9.389436104,19.5189226,470.9716559,0
112.109375,39.20981908,0.048114396,0.940525928,2.224080268,12.64567115,10.35476917,156.2274734,0
53.796875,35.2245829,2.537610881,10.33296117,12.57023411,,3.874826932,15.44939361,1
122.5703125,39.1083598,0.182604812,0.604098667,1.201505017,14.65593232,13.19741138,183.8362911,0
115.1796875,46.4031979,0.150304307,-0.022155432,3.201505017,17.52376402,7.239112622,64.57221524,0
101.359375,51.46019918,0.390138582,0.159249071,1.034280936,11.24884217,15.46934624,282.5797272,0
138.9609375,46.28147617,0.017384231,0.428362576,2.699832776,20.41011865,9.254891078,92.28409653,0
37.5859375,60.30256101,2.222209937,3.719046054,70.99665552,72.37353164,0.963634078,-0.246372287,1
99.4609375,34.85100033,0.38407633,2.47571452,3.93812709,24.01524428,6.547438679,44.56164556,0
146.109375,49.29126355,-0.171422942,-0.450379623,2.387123746,13.7475982,9.167285762,118.4825507,0
123.2578125,49.12853774,0.14183847,-0.108945834,2.119565217,14.02171936,10.17811165,134.7873945,0
116.9765625,49.47402488,0.209590665,-0.224654903,3.321906355,19.63157876,7.025086433,56.00519453,0
120.625,54.39281317,0.178517222,-0.391873885,10.81103679,,3.979721723,14.65585417,0
105.28125,54.69031243,0.443061132,-0.354324099,3.592809365,22.48519948,8.032629786,69.76968621,0
119.7421875,46.72613798,0.325001558,0.270379739,3.113712375,21.83880853,7.776603142,64.28488399,0
109.2421875,43.19048399,0.247524581,0.626773683,2.290133779,17.72047744,9.158574893,94.64273055,0
106.4921875,42.74488202,0.453945181,0.880399172,2.158026756,13.09360221,10.06622904,142.9286254,0
138.546875,51.86082026,0.13562608,-0.546714229,2.816053512,18.51261731,7.769081693,68.3924954,0
112.0546875,46.51130719,0.059912687,0.156629244,2.172240803,14.39726953,9.540924876,115.6686097,0
131.9921875,47.68098679,0.055127286,-0.177912334,3.12541806,17.04448212,7.654204551,73.68231602,0
114.15625,48.18461202,0.176504076,0.278548791,0.661371237,10.89382689,18.97366748,381.5857724,0
136,49.57317823,0.047797645,-0.619859814,2.314381271,13.63621336,9.540954215,125.6169224,0
129.203125,47.34355146,0.069522773,0.269714822,2.573578595,16.34270636,9.147538291,104.3893649,0
92.7734375,41.77585555,0.694228705,1.192460709,2.193979933,21.86388029,9.932928071,97.37352602,0
123.546875,69.39277468,0.060425107,-1.29079093,9.512541806,40.82928825,4.498688267,19.25873686,0
82.7109375,34.24022496,0.900031545,4.039792081,3.095317726,16.19403493,7.614451157,77.55918292,0
121.6015625,49.1674975,0.048081792,-0.206099809,2.14632107,15.90380242,9.241281599,100.9660481,0
110.7109375,42.97531129,0.312455929,0.521847232,3.073578595,19.63559164,7.46504985,61.47257794,0
94.6640625,44.86320829,0.632954176,0.35524214,2.27173913,20.77742143,9.67159282,95.74096487,0
128.4609375,47.91918691,-0.008418927,0.172413703,8.903010033,35.17617806,4.280974046,18.8862846,0
141.65625,49.10168618,-0.474854264,0.099495417,0.995819398,10.47424693,15.91899075,322.1493691,0
86.8984375,37.62226731,0.766870183,2.679012235,0.653010033,11.96290948,19.43500113,388.0245705,0
103.0703125,49.27492764,0.42452101,0.282820154,1.826086957,18.39063821,10.59282088,114.9287773,0
139.9609375,56.07812663,-0.192647226,-0.552131007,18.61287625,52.45631852,2.630842472,5.42314376,0
116.3046875,45.85073585,0.399116922,0.846143546,1.850334448,13.16051565,10.99824319,155.6825414,0
123.8515625,52.51905753,-0.091173338,-0.248606521,1.709866221,16.4186024,10.38594232,115.4054633,0
134.828125,48.60396547,0.055082002,0.083608985,26.04849498,62.07061996,2.167364159,3.11293088,0
129.2109375,49.13480378,0.014687015,-0.229723813,1.860367893,14.81174174,10.72950087,136.6400324,0
130.5,46.14955309,0.084445004,-0.107354783,1.529264214,11.75708623,12.53383106,211.3270812,0
128.1953125,56.05118456,-0.024595598,-0.349763782,2.567725753,16.02223356,9.03343933,101.66601,0
120.8125,51.34073523,0.029817788,-0.405792722,1.903010033,14.40708755,11.26169691,151.049118,0
145.0703125,39.8426953,0.284999823,1.088053752,12.39882943,42.83673171,3.479803519,11.11048603,0
110.84375,39.99774164,0.362048337,0.793389489,2.723244147,16.23730257,8.131253073,81.83686595,0
117.90625,51.95196662,0.121776517,0.022395381,0.77173913,11.73019874,17.37027406,319.4597827,0
72.671875,39.71403825,1.736562187,5.300701134,20.54765886,59.07871488,2.757302468,6.050100986,1
131.3828125,47.85527026,-0.02567222,0.067293749,2.235785953,14.70033753,9.292077648,108.8663935,0
109.3515625,50.80870832,-0.010264136,-0.241168441,3.034280936,16.93301762,7.572431209,71.972257,0
128.5546875,46.15002854,0.279995976,0.403025122,2.274247492,14.57015226,10.64792991,149.8546301,0
31.6015625,30.68319467,5.777222294,39.10297084,44.61789298,72.7426879,1.518847756,1.004429926,1
139.5703125,53.6724271,-0.031023305,-0.033905232,1.698160535,14.94180562,10.51691452,126.1672515,0
80.96875,37.88303081,0.776930779,2.457622502,1.336120401,13.40646027,12.39316855,175.8943427,0
106.875,47.57132802,0.199440015,0.284964217,3.079431438,20.98445543,8.427474542,78.25936579,0
113.21875,46.67138067,0.004099306,-0.095867734,8.462374582,35.15956588,4.298000074,18.07547258,0
121.859375,45.90321584,0.382637196,0.269294303,3.360367893,22.77293914,8.002561542,67.3449985,0
112.8203125,50.31050984,0.531300148,0.324872271,2.534280936,14.22095098,8.852471555,109.2304013,0
104.109375,46.05282876,0.268117752,0.452922939,3.27173913,21.98526195,7.539150714,60.04987032,0
74.9765625,38.17547168,0.846327898,2.613272979,1.295986622,13.86561219,12.73800734,180.8712481,0
116.6171875,45.43145955,0.160629686,0.027603718,2.765050167,15.70833074,8.174852865,87.03660109,0
99.140625,44.95444471,0.746357939,1.18201933,0.990802676,12.40471708,16.03496231,282.8417723,0
133.0703125,46.01531396,0.269562998,-0.045585264,3.678093645,20.42719075,7.512515056,65.00396059,0
116.515625,50.35312558,0.075483976,-0.143983462,1.612876254,13.89327939,10.90972781,142.1187519,0
118.484375,40.53489707,0.362327626,0.859121741,0.732441472,10.37089691,18.2661639,378.6511003,0
111.578125,37.12765339,0.799378778,1.864136036,21.22909699,50.63817835,2.619709013,6.279117781,1
108.8671875,46.17956987,0.206244911,0.043904121,3.210702341,17.51513686,7.969933975,77.83355465,0
48.9453125,39.18830912,3.145141266,11.66154241,192.1011706,50.9463023,-1.507778581,1.851651881,0
123,41.23446677,0.314192689,0.632505516,2.097826087,19.60763865,10.12840668,106.5587117,0
136.5,57.93328598,-0.086887608,-0.592040261,89.92892977,88.98030183,0.232477254,-1.609242774,0
114.1484375,45.17225535,0.179826721,0.074158217,2.455685619,14.5366752,9.417564139,116.3594624,0
124.453125,52.69959964,0.023508784,-0.369975651,0.97909699,12.87418139,16.04898479,279.3496746,0
136.265625,48.75536579,0.108763277,-0.209345699,2.184782609,13.27752908,10.22349389,141.7723679,0
6.5,31.52305704,7.124226849,50.96172018,139.4197324,79.1985529,-0.056566566,-1.405542127,1
135.2734375,48.82697686,-0.235957677,-0.219484729,4.341973244,19.79310066,6.026582721,44.23291083,0
84.7578125,32.61248469,1.016458767,4.744440101,5.910535117,30.445074,5.614905083,32.08310155,0
131.953125,42.20538683,0.136818643,0.265052537,14.89214047,51.73874012,3.210356348,8.405588122,0
104.2578125,53.03658026,0.413035237,-0.083820619,3.316889632,21.3262776,7.059217341,53.3114705,0
123.1328125,52.98693399,0.049613176,-0.288495114,2.52090301,20.25841576,9.107835325,88.64787479,0
97.6953125,40.26776754,0.186665497,0.993674743,1.901337793,16.02976845,10.16778053,115.9202559,0
87.765625,37.65415904,0.839832659,2.195707459,1.945652174,16.24744558,10.5292331,125.9398373,0
129.6171875,50.23804601,-0.085249854,0.163815392,3.737458194,21.50386062,7.39041903,60.84590576,0
133.2578125,44.05824378,-0.081059862,0.115361506,1.632107023,12.00780568,11.97206663,195.5434476,0
140.40625,46.58903397,-0.312568884,0.130034035,2.534280936,14.85812488,9.031897467,107.112665,0
122.90625,51.45559941,-0.10575558,-0.402825447,0.316053512,8.180373147,28.05250136,824.8646725,0
118.8828125,50.14379652,0.077970923,-0.026159842,4.006688963,25.81070055,7.100489951,52.20467122,0
90.4296875,35.39656666,0.684359649,2.899676159,1.266722408,14.17496721,12.6463996,175.2199632,0
101.75,46.57051106,0.144429607,0.410121435,3.675585284,20.76605892,7.400957593,63.71060496,0
97.203125,45.22571161,0.381121272,0.792295992,2.070234114,16.90738347,9.367738187,97.52577582,0
123.5,62.56833764,-0.111580441,-0.769203984,8.026755853,37.05736699,4.747849306,21.75724644,0
122.9921875,44.98966827,0.144861004,-0.002513486,8.673076923,35.37490529,4.206102881,17.05039431,0
126.890625,45.66936788,0.097719465,0.03574724,1.779264214,13.76874599,10.66464748,143.026532,0
100.6796875,55.506747,0.529025542,-0.05760713,3.084448161,18.15186933,8.423090762,83.6573353,0
136.2109375,48.37139075,-0.182057853,0.116136923,1.652173913,13.60310879,12.51741742,187.8131046,0
98.6640625,46.24278277,0.477674067,0.065190135,1.653846154,12.93800151,11.29605582,164.0440958,0
120.65625,48.12020065,0.224411522,0.22957395,0.300167224,7.957518897,29.26748053,898.6658289,0
90.65625,56.95494896,1.002409008,-0.008164541,10.04264214,41.88905582,4.451665136,19.11656877,1
111.609375,46.87453906,0.226778771,0.149448614,0.547658863,9.168903908,21.60411151,534.824061,0
105.6171875,41.97620626,0.55316724,1.075142696,3.0409699,17.64588009,7.709852342,72.06410218,0
100.1640625,46.90378738,0.340650618,0.104735079,16.92809365,54.55799755,2.951741682,6.865159835,0
89.4296875,47.19469044,0.411052207,0.323261417,4.454013378,27.65685686,6.627542223,44.98953565,0
46.5703125,38.00199082,3.909548891,16.57935452,48.40384615,66.27613981,1.453978586,1.245745057,1
117.21875,52.12693904,0.196283062,-0.088269059,6.203177258,30.22379774,5.285600784,28.61107801,0
127.6328125,44.11718612,0.067652431,0.103195502,9.392976589,34.50829115,4.03999313,16.48196465,0
128.4609375,50.5213294,0.202848972,-0.491970397,2.83277592,15.74431349,7.571510599,76.89973687,0
105.7109375,54.63160034,0.340996355,0.00340336,3.407190635,22.61974265,7.383158675,57.56657294,0
40,36.26896056,4.300105986,20.39031592,72.85618729,71.37776501,0.55366437,-0.602633589,1
